Incident ID,Incident Date,Incident Month,Incident Year,State,City Or County,Direction,COORDINATES,Latitude and Longitude,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS,State_abbrev,Population per State,Shootings Per State,Shootings per 100k Citizens
1441967,2019-07-08T00:00:00Z,7,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",3900 Martin Luther King Jr Ave SW,2,2,0,0,0,11000,DC,689545,51,7.396181540001015
2714081,2023-09-23T00:00:00Z,9,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1360 H St NE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
1635118,2020-03-06T00:00:00Z,3,2020,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",6219 Dix St NE,0,6,0,0,0,11000,DC,689545,51,7.396181540001015
1459941,2019-07-28T00:00:00Z,7,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",637 T St NW,0,4,0,0,1,11000,DC,689545,51,7.396181540001015
2064992,2021-07-16T00:00:00Z,7,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2900 block of MLK Ave SE,1,5,0,0,1,11000,DC,689545,51,7.396181540001015
2725133,2023-10-06T00:00:00Z,10,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",100 block of Quincy Pl NE,0,5,0,0,0,11000,DC,689545,51,7.396181540001015
2488952,2022-12-27T00:00:00Z,12,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2300 block of Pennsylvania Ave SE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
1319333,2019-02-04T00:00:00Z,2,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2341 Pennsylvania Ave SE,0,5,0,0,1,11000,DC,689545,51,7.396181540001015
2361532,2022-07-16T00:00:00Z,7,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",200 block of Adams St NE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
2121381,2021-09-21T00:00:00Z,9,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2200 block of Alabama Ave SE,0,5,0,0,0,11000,DC,689545,51,7.396181540001015
