"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3046682,"October 12, 2024",Texas,"Wichita Falls","3410 Taft Blvd","Midwestern State University",0,0,0,0,1,N/A
3046274,"October 12, 2024",Indiana,"South Bend","Titan Dr","River Crossing Campus Apartments",0,1,0,0,0,N/A
3045935,"October 11, 2024",Tennessee,Ooltewah,"6123 Mountain View Rd","Ooltewah High School",0,0,0,0,1,N/A
3045179,"October 11, 2024",Louisiana,Zachary,"4100 School St","Zachary High School",0,0,0,0,1,N/A
3045134,"October 11, 2024","North Carolina","Laurel Hill","11340 Old Wire Rd","Laurel Hill Elementary School",0,0,0,0,0,N/A
3045566,"October 11, 2024",Ohio,"Cleveland (Cleveland Heights)","13263 Cedar Rd","Cleveland Heights High School",0,0,0,0,1,N/A
3045513,"October 11, 2024",Virginia,"Richmond (North Chesterfield)","4901 Cogbill Rd","Meadowbrook High School",0,0,0,0,1,N/A
3044942,"October 10, 2024",Ohio,"Cleveland (Cleveland Heights)","13263 Cedar Rd","Cleveland Heights High School",0,0,0,0,1,N/A
3044807,"October 10, 2024",Illinois,Chicago,"4837 W Erie St","Nash Elementary School",0,0,0,0,0,N/A
3045022,"October 10, 2024",Mississippi,Petal,"203 E Central Ave","Petal Middle School",0,0,0,0,1,N/A
3043732,"October 8, 2024","New Mexico",Albuquerque,"10800 Dennis Chavez Blvd SW","Atrisco Heritage Academy High School",0,0,0,0,1,N/A
3043605,"October 8, 2024",Texas,Crandall,"13385 FM 3039","Crandall High School",0,0,0,0,1,N/A
3045415,"October 7, 2024",Ohio,"Cleveland (Cleveland Heights)","13263 Cedar Rd","Cleveland Heights High School",0,0,0,0,1,N/A
3043190,"October 7, 2024",Oklahoma,"Oklahoma City","9201 SW 59th St E","Prairie View Elementary School",0,0,0,0,0,N/A
3041305,"October 5, 2024",Alabama,Montgomery,"915 S Jackson St","Alabama State University",0,0,0,0,2,N/A
3041977,"October 5, 2024",Indiana,Indianapolis,"3360 W 30th St","Cardinal Ritter High School Football Field",0,2,0,0,0,N/A
3043114,"October 4, 2024","North Carolina","Winston Salem (Winston-salem)","3545 Carver School Rd","Carver High School",0,0,0,0,1,N/A
3040834,"October 4, 2024",Florida,Rockledge,"220 Rockledge Ave","Rockledge High School",0,0,0,0,3,N/A
3041144,"October 4, 2024",Texas,Weslaco,"784 N Westgate Dr","Bobby Lackey Stadium, Weslaco High School",0,0,0,0,1,N/A
3039796,"October 3, 2024",Nevada,"North Las Vegas","3500 W Gilmore Ave","Theron L. Swainston Middle School",0,0,0,0,1,N/A
3039688,"October 3, 2024",Michigan,Eastpointe,"15501 Couzens Ave","Eastpointe High School",0,0,0,0,1,N/A
3040286,"October 3, 2024","North Carolina",Garner,"8228 Hebron Church Rd","South Garner High School",0,0,0,0,1,N/A
3039845,"October 3, 2024",Texas,Palestine,"1600 TX-256 Loop","Palestine High School",0,0,0,0,0,N/A
3038999,"October 2, 2024",Mississippi,Columbus,"215 Hemlock St","Columbus High School",0,0,0,0,1,N/A
3041649,"October 2, 2024",California,Petaluma,"680 Sonoma Mountain Pkwy","Santa Rosa Junior College",0,0,0,0,0,N/A
3039075,"October 2, 2024",Idaho,Hagerman,"150 E Lake St W","Hagerman Jr/Sr High School",0,0,0,0,1,N/A
3038740,"October 1, 2024",Louisiana,"Saint Francisville","8604 US-61","West Feliciana High School",0,0,0,0,2,N/A
3039369,"October 1, 2024",Massachusetts,Brockton,"470 Forest Ave","Brockton High School",0,0,0,0,1,N/A
3038610,"October 1, 2024","New Mexico",Albuquerque,"7801 Candelaria Rd NE","Sandia High School",0,0,0,0,0,N/A
3039873,"October 1, 2024",Texas,Waco,"2020 N 42nd St","Waco High School",0,0,0,0,1,N/A
3038321,"October 1, 2024",Illinois,Ottawa,"211 E Main St","Ottawa Township High School",0,0,0,0,1,N/A
3039547,"September 30, 2024","North Carolina",Eden,"134 N Pierce St","Morehead High School",0,0,0,0,1,N/A
3037320,"September 30, 2024",Texas,Abilene,"4134 Beltway S","Wylie West Junior High School",0,0,0,0,1,N/A
3037016,"September 30, 2024",Texas,Harlingen,"125 S 13th St","Vernon Middle School",0,0,0,0,1,N/A
3039367,"September 30, 2024",Virginia,Stafford,"1700 Courthouse Rd","Brooke Point High School",0,0,0,0,1,N/A
3037747,"September 30, 2024",Arizona,"Prescott Valley","8556 E Loos Dr","Acorn Montessori School",0,0,0,0,1,N/A
3038151,"September 29, 2024",Kentucky,Louisville,"5901 Greenwood Rd","Pleasure Ridge Park High School",0,0,0,0,1,N/A
3036830,"September 29, 2024",Kentucky,Louisville,"5901 Greenwood Rd","Pleasure Ridge Park High School",1,1,0,0,0,N/A
3036411,"September 28, 2024","New York",Buffalo,"Rockwell Rd and Rees St","SUNY Buffalo State U Parking Lot R-15",0,0,0,0,0,N/A
3036145,"September 27, 2024","New York",Brooklyn,"985 Rockaway Ave","Metropolitan Diploma Plus High School",0,0,0,0,0,N/A
3035183,"September 27, 2024",Louisiana,Lafayette,"320 Devalcourt St","South Louisiana Community College and the Early College Academy",0,0,0,0,1,N/A
3038474,"September 27, 2024",Texas,"El Paso","5400 Sun Valley Dr","Andress High School",0,0,0,0,1,N/A
3035721,"September 27, 2024",Wisconsin,Milwaukee,"330 Glenview Ave","Wisconsin Lutheran High School",0,1,0,0,0,N/A
3034650,"September 26, 2024","New York",Brooklyn,"985 Rockaway Ave","Metropolitan Diploma Plus High School",0,0,0,0,2,N/A
3034963,"September 26, 2024",Idaho,Pocatello,"1800 Bench Rd","Highland High School",0,0,0,0,0,N/A
3034978,"September 26, 2024",Wyoming,"Rock Springs","1375 James Dr","Rock Springs High School",0,0,0,0,1,N/A
3045559,"September 26, 2024","New Mexico","Los Lunas","32 Sun Valley Rd","Century High School",0,0,0,0,1,N/A
3035612,"September 25, 2024",Minnesota,"Minneapolis (Brooklyn Park)","7300 Brooklyn Blvd","Park Center High School",0,0,0,0,1,N/A
3039674,"September 25, 2024",Michigan,"Mackinaw City","609 W Central Ave","Mackinaw City Public Schools",0,0,0,0,0,N/A
3034653,"September 25, 2024",Georgia,Newnan,"190 Lagrange St","Newnan High School",0,0,0,0,1,N/A
3033809,"September 25, 2024",Washington,Kennewick,"600 N. Arthur St","Kamiakin High School",0,0,0,0,0,N/A
3034542,"September 25, 2024",Louisiana,Loranger,"19404 Hiatt Rd","Loranger High School",0,0,0,0,1,N/A
3034357,"September 25, 2024","New York",Brooklyn,"956 E 82nd St","I.S. 068 Isaac Bildersee",0,2,0,0,0,N/A
3035770,"September 25, 2024",Washington,"Kent (Covington)","25800 164th Ave SE","Kentwood High School",0,0,0,0,1,N/A
3034261,"September 25, 2024",Pennsylvania,Williamsport,"2990 W 4th St","WILLIAMSPORT AREA HIGH SCHOOL",0,0,0,0,1,N/A
3034905,"September 25, 2024",Tennessee,Maryville,"131 S Old Glory Rd","Mary Blount Elementary School",0,0,0,0,1,N/A
3034921,"September 25, 2024",Tennessee,Memphis,"1363 E Person Ave","Hamilton High School",0,0,0,0,1,N/A
3033131,"September 24, 2024",Delaware,"New Castle","713 E Basin Rd","William Penn High School",0,0,0,0,1,N/A
3033272,"September 24, 2024","North Carolina",Charlotte,"4000 Gallant Ln","Kennedy Middle School",0,0,0,0,1,N/A
3033231,"September 24, 2024",Illinois,"Highland Park","700 block of Red Oak Ln","North Shore Academy",0,0,0,0,1,N/A
3034561,"September 24, 2024","North Carolina",Warsaw,"158 Lanefield Rd","Warsaw Elementary School",0,0,0,0,0,N/A
3033601,"September 24, 2024","New York",Brooklyn,"6565 Flatlands Ave","South Shore High School",0,1,0,0,0,N/A
3034226,"September 24, 2024",Washington,Camas,"5220 NW Parker St","Skyridge Middle School",0,0,0,0,0,N/A
3032410,"September 23, 2024",Alabama,Albertville,"402 E McCord Ave","Albertville High School",0,0,0,0,1,N/A
3032279,"September 23, 2024",Tennessee,Cordova,"8601 Chimneyrock Blvd","Chimneyrock Elementary School",0,0,0,0,1,N/A
3032019,"September 23, 2024",Maryland,"Hyattsville (Landover Hills)","5211 Flintridge Dr","Ellen Ochoa Middle School",0,0,0,0,1,N/A
3031797,"September 23, 2024",Kansas,Wichita,"2101 W 45th St S","Cessna Elementary School",0,1,0,1,1,N/A
3032802,"September 23, 2024",Florida,Jacksonville,"4412 Barnes Rd S","Englewood High School",0,0,0,0,1,N/A
3031860,"September 22, 2024",Arizona,Tucson,"910 E 5th St","University of Arizona",1,0,0,0,1,N/A
3032628,"September 22, 2024","New York",Batavia,"8170 Batavia Stafford Townline Rd","Genesee Community College",0,0,0,0,1,N/A
3031418,"September 21, 2024",Texas,"Marble Falls","2101 Mustang Dr","Marble Falls High School",0,1,0,0,0,N/A
3032165,"September 21, 2024","South Dakota","Sioux Falls","2900 S Cliff Ave","Lincoln High School",0,0,0,0,1,N/A
3030406,"September 20, 2024",Oregon,Gresham,"1200 N Main Ave","Gresham High School",0,0,0,0,1,N/A
3032954,"September 20, 2024","New Mexico",Albuquerque,"1240 Bellamah Ave NW","ACE Leadership High School",0,0,0,0,2,N/A
