Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
2201535,"December 31, 2021",Maryland,Capitol Heights,Cindy Ln,0,4,0,0,0,
2201716,"December 31, 2021",Mississippi,Gulfport,1200 block of Lewis Ave,4,3,0,0,6,
2201216,"December 31, 2021",California,Los Angeles,10211 S. Avalon Blvd,0,6,0,0,0,
2200968,"December 30, 2021",Pennsylvania,Philadelphia,5100 block of Germantown Ave,0,6,0,1,1,
2201052,"December 30, 2021",Missouri,Kirksville,700 block of E Dodson St,3,1,0,0,2,
2198521,"December 27, 2021",Colorado,Denver,56 Broadway,5,2,1,0,0,
2200720,"December 27, 2021",Alabama,Mobile,3606 Moffett Rd,1,3,0,0,0,
2198014,"December 27, 2021",Ohio,Youngstown,2626 Tyrell Ave,1,3,0,0,2,
2197391,"December 26, 2021",Texas,Garland,730 W Walnut St,3,1,0,0,1,
2198071,"December 26, 2021",New York,Buffalo,1300 block of Jefferson Ave,0,4,0,0,0,
2197178,"December 26, 2021",Virginia,Clear Brook,I-81 and Visitor Center Loop,0,4,1,0,0,
2197421,"December 26, 2021",Mississippi,Fayette,225 Community Dr,1,6,0,0,1,
2197328,"December 26, 2021",Pennsylvania,Philadelphia,800 block of W Clearfield St,0,4,0,0,0,
2196827,"December 25, 2021",Louisiana,Lafayette,2106 NW Evangeline Trwy,0,4,0,0,0,
2196434,"December 24, 2021",Georgia,Roswell,401 Huntington Dr,1,3,0,0,1,
2196267,"December 24, 2021",Pennsylvania,Pittsburgh,7300 block of Schoyer St,0,5,0,1,1,
2196839,"December 24, 2021",New York,Brooklyn,1031 Nostrand Ave,0,4,0,0,0,
2193049,"December 19, 2021",Illinois,Lovejoy (Brooklyn),213 Madison St,1,3,0,0,0,
2192046,"December 17, 2021",Maryland,Baltimore,1300 block of W North Ave,1,4,0,0,1,
2191683,"December 17, 2021",Virginia,Portsmouth,4105 Portsmouth Blvd,0,4,0,0,0,
2191752,"December 17, 2021",Maryland,Baltimore,600 block of Laurens St,1,3,0,0,1,
2188999,"December 13, 2021",California,Fresno,E Normal Ave and Mayfair Dr S,0,4,0,0,0,
2188843,"December 13, 2021",Pennsylvania,Philadelphia,3400 block of Emerald St,0,4,0,0,0,
2188260,"December 13, 2021",North Carolina,Durham,Eugene St and Mathison St,2,4,0,0,0,
2187939,"December 12, 2021",Mississippi,Bolton,6274 W Northside Dr,0,6,0,0,0,
2190367,"December 12, 2021",Florida,Tampa,Alaska Ave,0,5,0,0,1,
2187990,"December 12, 2021",Texas,Baytown,1403 N Market Loop,1,13,0,0,0,
2188066,"December 12, 2021",Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4,0,0,0,
2187027,"December 11, 2021",Illinois,River Grove,3111 River Rd,1,3,0,0,0,
2186517,"December 10, 2021",Michigan,Lansing,Miller Rd and Cedar St,1,3,0,0,1,
2187077,"December 10, 2021",Florida,Orlando,Jefferson St and Garden Ave,0,5,0,0,0,
2186696,"December 10, 2021",North Carolina,Charlotte,3100 block of Marney Ave,0,5,0,0,1,
2186858,"December 9, 2021",Maryland,Capitol Heights,6700 Walker Mill Rd,0,4,0,0,0,
2186246,"December 9, 2021",Wisconsin,Beloit,1900 block of Porter Ave,1,5,0,0,0,
2183667,"December 6, 2021",Pennsylvania,Philadelphia,1500 block of N 29th St,0,4,0,0,0,
2182789,"December 5, 2021",Michigan,Detroit,5200 block of Marlborough St,2,2,0,0,0,
2183120,"December 5, 2021",Texas,El Paso,2910 Tularosa Ave,1,3,0,0,1,
2181840,"December 3, 2021",Tennessee,Memphis,3885 Elvis Presley Blvd,2,2,0,0,0,
2181096,"December 2, 2021",North Carolina,Elizabeth City,Perry St and Jordan St,3,3,0,0,2,
2178487,"November 30, 2021",Michigan,Oxford,745 N Oxford Rd,4,7,0,0,1,
2179099,"November 30, 2021",Georgia,Rex,3600 block of Jervis Court,3,2,1,0,0,
2177268,"November 28, 2021",Pennsylvania,Philadelphia,1300 block of S 50th St,0,4,0,0,0,
2176922,"November 28, 2021",Maryland,Baltimore,1300 block of North Montford Ave,0,7,0,0,0,
2177300,"November 28, 2021",Illinois,Evanston,1950 Green Bay Rd,1,4,0,0,0,
2176653,"November 28, 2021",Colorado,Aurora,1500 block of Dayton St,0,5,0,0,0,
2177416,"November 28, 2021",California,Lancaster,3500 block of Garnet Ln,5,0,0,0,1,
2176667,"November 27, 2021",New Jersey,Newark,900 block of Bergen St,1,3,0,0,0,
2176058,"November 26, 2021",Tennessee,Nashville,2815 Torbett St,2,4,1,0,1,
2175329,"November 25, 2021",Texas,San Antonio,4000 block of Sunrise Creek Dr,3,1,0,0,0,
2265367,"November 25, 2021",New York,Rochester,Denver St and Grand Ave,1,3,0,0,4,
2175615,"November 25, 2021",South Carolina,Green Sea,Long Branch Swamp Rd,0,4,0,0,0,
2173531,"November 23, 2021",Florida,Lehigh Acres,Cervantes St,0,4,0,0,0,
2174033,"November 23, 2021",Texas,Marshall,700 block of Cross St,1,3,0,0,1,
2174685,"November 22, 2021",North Carolina,Warsaw,101 Matthews St,2,2,0,0,0,
2172178,"November 21, 2021",New Jersey,Passaic,Howe Ave and Lafayette Ave,0,5,0,0,2,
2172657,"November 21, 2021",Louisiana,Baton Rouge,4888 Plank Rd,1,4,0,0,1,
2171568,"November 20, 2021",California,Fresno,3665 N Pleasant Ave,2,2,0,0,0,
2172018,"November 20, 2021",Illinois,Berwyn,6802 W 26th St,0,4,0,0,0,
2170438,"November 18, 2021",Maryland,Cambridge,700 block of Greenwood Ave,1,2,0,0,1,
2169719,"November 17, 2021",Illinois,East Saint Louis,8300 block of State St,1,3,0,0,0,
2170140,"November 17, 2021",New York,Newburgh,William St and Carson Ave,0,4,0,0,1,
2169494,"November 17, 2021",New York,Bronx,815 Burke Ave,1,3,0,0,0,
2168989,"November 17, 2021",Illinois,Chicago,1240 W Randolph St,0,4,0,0,0,
2167778,"November 15, 2021",New York,New York (Manhattan),101 W 141st St,0,4,0,0,0,
2167297,"November 15, 2021",Colorado,Aurora,1200 Nome St,0,6,0,0,4,
2166673,"November 14, 2021",Pennsylvania,Philadelphia,2700 block of N Howard St,0,6,0,0,0,
2166768,"November 14, 2021",Missouri,Columbia,19 N 5th St,0,5,1,0,1,
2166953,"November 14, 2021",Oregon,Chiloquin,990 Bronco Lane,2,2,0,0,1,
2166817,"November 14, 2021",Alabama,Troy,803 US-231 S,1,5,0,0,0,
2166055,"November 13, 2021",North Carolina,Winston Salem (Winston-salem),400 block of Gregory St,0,4,0,0,1,
2167889,"November 13, 2021",Louisiana,Houma,100 block of Emma St,0,4,0,0,2,
2165600,"November 12, 2021",Virginia,Richmond,3050 Nine Mile Rd,2,2,0,0,4,
2165535,"November 12, 2021",Alabama,Birmingham,1100 block of 33rd St SW,2,2,0,0,1,
2163306,"November 9, 2021",New York,Rochester,Clifton St and Jefferson Ave,0,4,0,0,0,
2163772,"November 9, 2021",Louisiana,Hahnville (Killona),160 Killona Dr,1,4,0,0,1,
2163617,"November 9, 2021",South Dakota,Scotland,710 2nd St,3,2,0,0,1,
2162196,"November 8, 2021",Texas,Victoria,10700 FM 236,3,1,0,0,1,
2162269,"November 8, 2021",Pennsylvania,Philadelphia,200 block of E Louden St,0,4,0,0,0,
2161323,"November 7, 2021",Wisconsin,Kenosha,625 57th St,1,3,0,0,0,
2161116,"November 6, 2021",California,Oakley,33 Malicoat Ave,2,2,0,0,1,
2160608,"November 6, 2021",Texas,Marshall,510 S Alamo Blvd,0,6,0,0,2,
2161078,"November 6, 2021",California,Highland,26998 3rd St,0,4,0,0,0,
2160838,"November 5, 2021",California,Oakland,8400 block of International Blvd,1,3,0,0,0,
2158417,"November 3, 2021",Virginia,Norfolk,821 Whitaker Ln,3,2,0,0,1,
2158524,"November 3, 2021",Iowa,Des Moines,11300 block of E 15th St,0,4,0,0,0,
2157991,"November 2, 2021",Alabama,Mobile,4120 Government Blvd,0,4,0,0,1,
2157206,"November 1, 2021",Texas,San Antonio,1900 block of W Laurel St,0,4,0,0,0,
2156175,"November 1, 2021",Florida,Orlando,N Orange Ave and Wall St,0,4,0,0,1,
2155369,"October 31, 2021",Kentucky,Louisville,6210 Shepherdsville Rd,2,2,0,0,0,
2155517,"October 31, 2021",Colorado,Littleton (Lakewood),6200 block of Alameda Ave,2,2,0,0,0,
2155428,"October 31, 2021",Illinois,Flossmoor,3800 block of Ballantrae Way,1,3,0,0,0,
2155282,"October 31, 2021",Texas,Houston,1909 Schilder Dr,1,3,0,0,0,
2156001,"October 31, 2021",Texas,Fort Worth,3700 block of Lebow St,1,3,0,0,2,
2155329,"October 31, 2021",Illinois,Joliet,1018 E Jackson St,3,11,0,0,4,
2154851,"October 30, 2021",California,Gilroy,400 block of Las Animas Ave,2,2,0,0,1,
2154422,"October 30, 2021",Illinois,Decatur,1100 block of N Union St,0,4,0,0,0,
2154441,"October 30, 2021",Oklahoma,Oklahoma City,NW 122nd St and N Council Rd,0,4,0,0,0,
2154873,"October 30, 2021",California,Sacramento,5560 Palm Ave,2,5,0,0,1,
2155172,"October 30, 2021",Florida,Saint Petersburg,1079 62nd Ave S,1,4,0,0,1,
2155001,"October 30, 2021",Texas,Texarkana,2315 Texas Blvd,1,9,0,0,2,
2154283,"October 29, 2021",New York,Poughkeepsie,32 Cannon St,0,5,0,0,2,
2155826,"October 29, 2021",Michigan,Kalamazoo,3082 S 9th St,0,4,0,0,0,
2153285,"October 28, 2021",Nevada,Las Vegas,3900 block of E Cheyenne Ave,0,4,0,0,0,
2153779,"October 28, 2021",Tennessee,Nashville,210 N 9th St,1,3,0,0,0,
2150274,"October 25, 2021",Idaho,Boise,350 N Milwaukee St,2,3,1,0,0,
2154085,"October 24, 2021",California,Gonzales,Foletta Rd,2,2,0,0,2,
2150037,"October 24, 2021",Mississippi,Crenshaw,413 Jones St,2,3,0,0,2,
2148921,"October 23, 2021",South Carolina,Florence,811 S Irby St,0,6,0,0,0,
2148891,"October 23, 2021",California,Ontario,700 block of E Bonnie Brae Ct,1,4,0,0,2,
2148633,"October 23, 2021",Georgia,Fort Valley,603 Carver Dr,1,7,0,0,0,
2148282,"October 22, 2021",Illinois,Chicago,7901 S Cottage Grove Ave,0,5,0,0,0,
2148946,"October 22, 2021",Washington,Renton,16420 SE 128th St,0,4,0,0,0,
2148401,"October 22, 2021",Maryland,Baltimore,3100 block of W North Ave,0,7,0,0,0,
2147114,"October 21, 2021",New York,Brooklyn,3008 Glenwood Rd,0,4,0,0,0,
2147301,"October 21, 2021",Washington,Tacoma,4258 Everett St,4,0,0,0,1,
2147042,"October 20, 2021",Michigan,Farwell,9539 S Harrison Ave,4,0,0,0,1,
