Incident ID,Month,Year,State,FIPS,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3046682,October,2024,Texas,48,Wichita Falls,3410 Taft Blvd,Midwestern State University,0,0,0,0,"1"
3046274,October,2024,Indiana,18,South Bend,Titan Dr,River Crossing Campus Apartments,0,1,0,0,"0"
3045935,October,2024,Tennessee,47,Ooltewah,6123 Mountain View Rd,Ooltewah High School,0,0,0,0,"1"
3045179,October,2024,Louisiana,22,Zachary,4100 School St,Zachary High School,0,0,0,0,"1"
3045134,October,2024,North Carolina,37,Laurel Hill,11340 Old Wire Rd,Laurel Hill Elementary School,0,0,0,0,"0"
3045566,October,2024,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,"1"
3045513,October,2024,Virginia,51,Richmond (North Chesterfield),4901 Cogbill Rd,Meadowbrook High School,0,0,0,0,"1"
3044942,October,2024,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,"1"
3044807,October,2024,Illinois,17,Chicago,4837 W Erie St,Nash Elementary School,0,0,0,0,"0"
3045022,October,2024,Mississippi,28,Petal,203 E Central Ave,Petal Middle School,0,0,0,0,"1"
3043732,October,2024,New Mexico,35,Albuquerque,10800 Dennis Chavez Blvd SW,Atrisco Heritage Academy High School,0,0,0,0,"1"
3043605,October,2024,Texas,48,Crandall,13385 FM 3039,Crandall High School,0,0,0,0,"1"
3045415,October,2024,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,"1"
3043190,October,2024,Oklahoma,40,Oklahoma City,9201 SW 59th St E,Prairie View Elementary School,0,0,0,0,"0"
3041305,October,2024,Alabama,01,Montgomery,915 S Jackson St,Alabama State University,0,0,0,0,"2"
3041977,October,2024,Indiana,18,Indianapolis,3360 W 30th St,Cardinal Ritter High School Football Field,0,2,0,0,"0"
3043114,October,2024,North Carolina,37,Winston Salem (Winston-salem),3545 Carver School Rd,Carver High School,0,0,0,0,"1"
3040834,October,2024,Florida,12,Rockledge,220 Rockledge Ave,Rockledge High School,0,0,0,0,"3"
3041144,October,2024,Texas,48,Weslaco,784 N Westgate Dr,"Bobby Lackey Stadium, Weslaco High School",0,0,0,0,"1"
3039796,October,2024,Nevada,32,North Las Vegas,3500 W Gilmore Ave,Theron L. Swainston Middle School,0,0,0,0,"1"
3039688,October,2024,Michigan,26,Eastpointe,15501 Couzens Ave,Eastpointe High School,0,0,0,0,"1"
3040286,October,2024,North Carolina,37,Garner,8228 Hebron Church Rd,South Garner High School,0,0,0,0,"1"
3039845,October,2024,Texas,48,Palestine,1600 TX-256 Loop,Palestine High School,0,0,0,0,"0"
3038999,October,2024,Mississippi,28,Columbus,215 Hemlock St,Columbus High School,0,0,0,0,"1"
3041649,October,2024,California,06,Petaluma,680 Sonoma Mountain Pkwy,Santa Rosa Junior College,0,0,0,0,"0"
3039075,October,2024,Idaho,16,Hagerman,150 E Lake St W,Hagerman Jr/Sr High School,0,0,0,0,"1"
3038740,October,2024,Louisiana,22,Saint Francisville,8604 US-61,West Feliciana High School,0,0,0,0,"2"
3039369,October,2024,Massachusetts,25,Brockton,470 Forest Ave,Brockton High School,0,0,0,0,"1"
3038610,October,2024,New Mexico,35,Albuquerque,7801 Candelaria Rd NE,Sandia High School,0,0,0,0,"0"
3039873,October,2024,Texas,48,Waco,2020 N 42nd St,Waco High School,0,0,0,0,"1"
3038321,October,2024,Illinois,17,Ottawa,211 E Main St,Ottawa Township High School,0,0,0,0,"1"
3039547,September,2024,North Carolina,37,Eden,134 N Pierce St,Morehead High School,0,0,0,0,"1"
3037320,September,2024,Texas,48,Abilene,4134 Beltway S,Wylie West Junior High School,0,0,0,0,"1"
3037016,September,2024,Texas,48,Harlingen,125 S 13th St,Vernon Middle School,0,0,0,0,"1"
3039367,September,2024,Virginia,51,Stafford,1700 Courthouse Rd,Brooke Point High School,0,0,0,0,"1"
3037747,September,2024,Arizona,04,Prescott Valley,8556 E Loos Dr,Acorn Montessori School,0,0,0,0,"1"
3038151,September,2024,Kentucky,21,Louisville,5901 Greenwood Rd,Pleasure Ridge Park High School,0,0,0,0,"1"
3036830,September,2024,Kentucky,21,Louisville,5901 Greenwood Rd,Pleasure Ridge Park High School,1,1,0,0,"0"
3036411,September,2024,New York,36,Buffalo,Rockwell Rd and Rees St,SUNY Buffalo State U Parking Lot R-15,0,0,0,0,"0"
3036145,September,2024,New York,36,Brooklyn,985 Rockaway Ave,Metropolitan Diploma Plus High School,0,0,0,0,"0"
3035183,September,2024,Louisiana,22,Lafayette,320 Devalcourt St,South Louisiana Community College and the Early College Academy,0,0,0,0,"1"
3038474,September,2024,Texas,48,El Paso,5400 Sun Valley Dr,Andress High School,0,0,0,0,"1"
3035721,September,2024,Wisconsin,55,Milwaukee,330 Glenview Ave,Wisconsin Lutheran High School,0,1,0,0,"0"
3034650,September,2024,New York,36,Brooklyn,985 Rockaway Ave,Metropolitan Diploma Plus High School,0,0,0,0,"2"
3034963,September,2024,Idaho,16,Pocatello,1800 Bench Rd,Highland High School,0,0,0,0,"0"
3034978,September,2024,Wyoming,56,Rock Springs,1375 James Dr,Rock Springs High School,0,0,0,0,"1"
3045559,September,2024,New Mexico,35,Los Lunas,32 Sun Valley Rd,Century High School,0,0,0,0,"1"
3035612,September,2024,Minnesota,27,Minneapolis (Brooklyn Park),7300 Brooklyn Blvd,Park Center High School,0,0,0,0,"1"
3039674,September,2024,Michigan,26,Mackinaw City,609 W Central Ave,Mackinaw City Public Schools,0,0,0,0,"0"
3034653,September,2024,Georgia,13,Newnan,190 Lagrange St,Newnan High School,0,0,0,0,"1"
3033809,September,2024,Washington,53,Kennewick,600 N. Arthur St,Kamiakin High School,0,0,0,0,"0"
3034542,September,2024,Louisiana,22,Loranger,19404 Hiatt Rd,Loranger High School,0,0,0,0,"1"
3034357,September,2024,New York,36,Brooklyn,956 E 82nd St,I.S. 068 Isaac Bildersee,0,2,0,0,"0"
3035770,September,2024,Washington,53,Kent (Covington),25800 164th Ave SE,Kentwood High School,0,0,0,0,"1"
3034261,September,2024,Pennsylvania,42,Williamsport,2990 W 4th St,WILLIAMSPORT AREA HIGH SCHOOL,0,0,0,0,"1"
3034905,September,2024,Tennessee,47,Maryville,131 S Old Glory Rd,Mary Blount Elementary School,0,0,0,0,"1"
3034921,September,2024,Tennessee,47,Memphis,1363 E Person Ave,Hamilton High School,0,0,0,0,"1"
3033131,September,2024,Delaware,10,New Castle,713 E Basin Rd,William Penn High School,0,0,0,0,"1"
3033272,September,2024,North Carolina,37,Charlotte,4000 Gallant Ln,Kennedy Middle School,0,0,0,0,"1"
3033231,September,2024,Illinois,17,Highland Park,700 block of Red Oak Ln,North Shore Academy,0,0,0,0,"1"
3034561,September,2024,North Carolina,37,Warsaw,158 Lanefield Rd,Warsaw Elementary School,0,0,0,0,"0"
3033601,September,2024,New York,36,Brooklyn,6565 Flatlands Ave,South Shore High School,0,1,0,0,"0"
3034226,September,2024,Washington,53,Camas,5220 NW Parker St,Skyridge Middle School,0,0,0,0,"0"
3032410,September,2024,Alabama,01,Albertville,402 E McCord Ave,Albertville High School,0,0,0,0,"1"
3032279,September,2024,Tennessee,47,Cordova,8601 Chimneyrock Blvd,Chimneyrock Elementary School,0,0,0,0,"1"
3032019,September,2024,Maryland,24,Hyattsville (Landover Hills),5211 Flintridge Dr,Ellen Ochoa Middle School,0,0,0,0,"1"
3031797,September,2024,Kansas,20,Wichita,2101 W 45th St S,Cessna Elementary School,0,1,0,1,"1"
3032802,September,2024,Florida,12,Jacksonville,4412 Barnes Rd S,Englewood High School,0,0,0,0,"1"
3031860,September,2024,Arizona,04,Tucson,910 E 5th St,University of Arizona,1,0,0,0,"1"
3032628,September,2024,New York,36,Batavia,8170 Batavia Stafford Townline Rd,Genesee Community College,0,0,0,0,"1"
3031418,September,2024,Texas,48,Marble Falls,2101 Mustang Dr,Marble Falls High School,0,1,0,0,"0"
3032165,September,2024,South Dakota,46,Sioux Falls,2900 S Cliff Ave,Lincoln High School,0,0,0,0,"1"
3030406,September,2024,Oregon,41,Gresham,1200 N Main Ave,Gresham High School,0,0,0,0,"1"
3032954,September,2024,New Mexico,35,Albuquerque,1240 Bellamah Ave NW,ACE Leadership High School,0,0,0,0,"2"
3029512,September,2024,West Virginia,54,Miami,5118 Cabin Creek Rd,Sharon Dawes Elementary School,0,0,0,0,"1"
3030257,September,2024,New York,36,New York (Manhattan),6 Edgecombe Ave,Percy E. Sutton Educational Campus,0,0,0,0,"1"
3035245,September,2024,Ohio,39,Cincinnati,1620 W Galbraith Rd,Bruce Baarendse Memorial Stadium,0,1,0,0,"0"
